elan_nomresi_list,seher,marka,model,buraxilis_ili,ban_novu,reng,muherrik,muherrik_gucu,yanacaq_novu,yurus,suretler_qutusu,oturucu,yeni,qiymet
6551232,Bakı,Mitsubishi,Pajero,2018,Offroader / SUV,Qara,3.8 L,250 a.g.,Benzin,140 000 km,Avtomat,Tam,Xeyr,46 900 AZN
6559381,Sumqayıt,BMW,528,2012,Sedan,Qara,2.0 L,245 a.g.,Benzin,113 000 km,Avtomat,Arxa,Xeyr,18 800 $
6519657,Bakı,Khazar,SD,2021,Sedan,Gümüşü,1.7 L,113 a.g.,Benzin,60 000 km,Mexaniki,Ön,Xeyr,21 000 AZN
6567198,Bakı,Mitsubishi,Pajero,2012,Offroader / SUV,Ağ,3.5 L,202 a.g.,Benzin,134 000 km,Avtomat,Tam,Xeyr,31 900 AZN
6600469,Bakı,Hyundai,Sonata,2015,Sedan,Qara,2.0 L,165 a.g.,Benzin,196 340 km,Avtomat,Arxa,Xeyr,27 500 AZN
6599787,Gəncə,LADA (VAZ),Niva,2017,Offroader / SUV,Yaş Asfalt,1.7 L,81 a.g.,Benzin,80 000 km,Mexaniki,Tam,Xeyr,14 800 AZN
6585741,Bakı,Kia,Sportage,2012,Offroader / SUV,Ağ,2.0 L,163 a.g.,Benzin,12 800 km,Avtomat,Tam,Xeyr,25 800 AZN
6600203,Bakı,Toyota,Avensis,2007,Universal,Boz,2.0 L,126 a.g.,Dizel,178 400 km,Mexaniki,Ön,Xeyr,17 900 AZN
6600468,Bakı,LADA (VAZ),2107,2008,Sedan,Tünd qırmızı,1.6 L,75 a.g.,Benzin,190 528 km,Mexaniki,Arxa,Xeyr,7 800 AZN
6600377,Bakı,Hyundai,Santa Fe,2011,Offroader / SUV,Boz,2.0 L,184 a.g.,Dizel,78 642 km,Avtomat,Ön,Xeyr,24 500 AZN
6600467,Bakı,Toyota,Prius,2007,Hetçbek / Liftbek,Yaş Asfalt,1.5 L,76 a.g.,Hibrid,175 250 km,Variator,Ön,Xeyr,12 800 AZN
6600388,Bakı,Kia,Sorento,2018,Offroader / SUV,Ağ,2.4 L,188 a.g.,Benzin,79 000 km,Avtomat,Tam,Xeyr,53 500 AZN
6580541,Bakı,Mercedes,C 200,2001,Sedan,Gümüşü,2.0 L,163 a.g.,Benzin,328 000 km,Avtomat,Arxa,Xeyr,10 700 AZN
6521051,Bakı,Mercedes,C 220,2000,Universal,Gümüşü,2.2 L,125 a.g.,Dizel,406 000 km,Avtomat,Arxa,Xeyr,12 500 AZN
6521051,Bakı,Mercedes,C 220,2000,Universal,Gümüşü,2.2 L,125 a.g.,Dizel,406 000 km,Avtomat,Arxa,Xeyr,12 500 AZN
6599867,Bakı,Mercedes,E 220,2000,Universal,Qara,2.2 L,143 a.g.,Dizel,480 000 km,Avtomat,Arxa,Xeyr,13 600 AZN
6600464,Bakı,Chevrolet,Cruze,2013,Sedan,Qara,1.4 L,141 a.g.,Benzin,166 000 km,Avtomat,Ön,Xeyr,15 000 AZN
6599910,Bakı,Hyundai,Azera,2012,Sedan,Qara,2.4 L,180 a.g.,Benzin,186 000 km,Avtomat,Ön,Xeyr,21 800 AZN
6600463,Bakı,Opel,Astra,1995,Universal,Yaşıl,1.6 L,101 a.g.,Benzin,397 000 km,Avtomat,Ön,Xeyr,5 300 AZN
